,cell_diameter,cell_length,doubling_h,growth_tmp,optimum_tmp,optimum_ph,genome_size,gc_content,coding_genes,rRNA16S_genes,tRNA_genes
Zotu33764,-0.07537,0.3311,0.7855,30.01,32.41,7.017,6220000,66.92,5067,5.04,61.17
Zotu33765,-0.251,0.2404,0.7286,37.47,34.03,6.874,3540000,55.46,3692,1.918,48.95
Zotu33766,-0.0076,0.1172,0.717,28.79,28.04,6.888,7320000,71.79,8403,3.216,61.6
Zotu33767,-0.1493,0.5362,0.8953,30.86,30.66,7.86,9380000,67.92,7465,2.645,57.6
Zotu33768,-0.2497,0.3291,0.63,48.27,49.75,7.055,2690000,55.92,2797,2.782,51.19
Zotu33769,-0.2409,0.1459,0.941,54.08,52.1,7.131,4080000,57.82,3346,1.684,47.91
Zotu3377,-0.2232,0.194,0.6168,43.44,40.65,7.06,3630000,61.64,3777,2.166,49.16
Zotu33770,-0.3505,0.1512,0.9745,34.34,38.88,6.077,5190000,59.04,4002,1.412,47.99
Zotu33771,-0.1252,0.1766,0.6168,28.95,29.84,7.384,6350000,71.26,3777,2.166,49.16
Zotu33772,-0.04893,0.5687,0.8953,29.01,27.9,7.86,8680000,69.49,10400,3.671,70.55
Zotu33773,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu33774,-0.2409,0.1459,0.941,54.08,52.1,7.131,4080000,57.82,3346,1.684,47.91
Zotu33776,-0.1493,0.5362,0.8953,30.86,30.66,7.86,9380000,67.92,7465,2.645,57.6
Zotu33777,-0.06798,0.5798,0.8953,28.86,27.9,7.86,9690000,69.08,10100,3.565,70.55
Zotu3378,-0.2942,0.1384,0.4165,27.3,25.72,6.983,5700000,65.02,5303,2.888,58.75
Zotu33780,0.001002,0.07812,1.014,28.21,27.47,7.026,6520000,56.41,5315,1.541,56.17
Zotu33781,-0.01984,0.08859,1.014,29.4,29.08,6.322,7260000,54.3,5258,1.965,52.83
Zotu33782,-0.09736,0.3789,0.7531,46.07,48.19,7.261,1310000,47.31,1273,2.226,44.95
Zotu33783,-0.3875,0.2621,0.8624,35.54,40.11,6.617,5420000,59.02,4246,1.441,47.89
Zotu33784,-0.1384,0.2046,0.795,29.57,30.69,7.146,4080000,60.31,3830,2.059,47.55
Zotu33785,-0.334,0.3497,0.7175,32.25,40.46,6.883,5870000,66.62,4908,1.779,48.33
Zotu33787,-0.251,0.2404,0.7286,37.47,36.11,6.874,3730000,52.26,3281,1.918,48.12
Zotu33788,-0.2409,0.1459,0.941,54.08,52.1,7.131,4080000,57.82,3346,1.684,47.91
Zotu33789,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu3379,-0.1204,-0.01159,0.7286,34.7,26.77,7.482,5310000,58.16,3658,1.423,47.9
Zotu33790,-0.2232,0.194,0.6168,43.44,40.65,7.06,3630000,61.64,3777,2.166,49.16
Zotu33791,-0.3875,0.2621,0.8624,35.54,40.11,6.617,5420000,59.02,4246,1.441,47.89
Zotu33792,-0.3875,0.2621,0.8624,41.33,40.11,6.617,4770000,55.41,3118,1.903,47.56
Zotu33793,-0.1855,0.1459,0.9006,51.88,50.16,7.16,3820000,56.05,2978,1.788,48.15
Zotu33794,-0.1168,0.3541,0.9008,33.76,33.82,7.699,2720000,44.66,2517,1.925,44.7
Zotu33795,-0.3584,0.5582,0.5464,29.37,32.61,7.207,4220000,40.58,3659,3.124,47.58
Zotu33796,-0.2489,0.006891,0.4132,30.61,31.75,6.931,3510000,67.59,4005,2.164,48.09
Zotu33797,-0.3505,0.1512,0.9745,41.94,52.04,6.077,4230000,59.04,4002,1.412,47.99
Zotu338,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu3380,-0.1656,0.07675,0.7559,27.78,27.49,7.446,8850000,70.33,6435,3.539,55.81
Zotu33800,-0.1999,0.1317,0.7378,30.62,31.76,7.191,4150000,61,4117,2.041,48
Zotu33802,-0.01984,0.08859,1.014,29.4,29.08,6.322,7260000,54.3,5258,1.965,52.83
Zotu33804,-0.2876,0.3236,0.6248,51.71,54.15,7.064,2470000,47.51,2327,2.519,49.61
Zotu33805,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu33806,-0.3875,0.2621,0.8624,35.54,40.11,6.617,5420000,59.02,4246,1.441,47.89
Zotu33807,-0.09736,0.3789,0.7531,46.07,48.19,7.261,690000,41.19,1337,2.226,44.95
Zotu33808,-0.3356,0.3496,0.767,43.46,38.31,6.728,4180000,50.66,3118,1.903,47.56
Zotu33809,-0.3607,0.3504,0.6989,41.19,40.32,6.908,3540000,47.44,3086,2.022,48.03
Zotu3381,-0.08783,0.3479,0.2169,29.97,29,7.217,6620000,62.43,5210,2.935,77.94
Zotu33810,-0.05618,0.3035,1.178,37.53,38.55,7.167,4110000,54.62,3701,1.967,49.4
Zotu33811,-0.09736,0.3789,0.7531,46.07,48.19,7.261,1100000,45.42,1337,2.226,44.95
Zotu33812,-0.3624,0.8623,0.5464,26.99,28.79,7.215,4810000,41.28,3626,3.124,48.97
Zotu33813,0.08168,0.1908,0.9977,29.57,28.5,6.084,6990000,59.98,5311,2.103,58.59
Zotu33814,-0.1503,0.2096,0.8366,51.88,51.56,7.186,3930000,55.8,2943,1.932,48.33
Zotu33815,-0.3875,0.2621,0.8624,41.98,40.65,6.648,4590000,55.41,3118,1.903,47.56
Zotu33816,-0.2876,0.3236,0.6248,51.71,54.15,7.064,2470000,47.51,2327,2.519,49.61
Zotu33818,-0.2848,0.225,0.6168,35.62,30.25,7.041,4910000,62.52,4057,2.232,49.27
Zotu33819,-0.1917,0.301,0.7789,29.86,30.34,7.192,5370000,56.93,3690,3.289,51.42
