ID	YD16L1	YD16L2	YD16L3	YD16L4	YD17L1	YD17L2	YD17L3	YD17L4	YD18L1	YD18L2	YD18L3	YD18L4	YD1L1	YD1L2	YD1L3	YD1L4	YD22L1	YD22L2	YD22L3	YD22L4	YD23L1	YD23L2	YD23L3	YD23L4	YD24L1	YD24L2	YD24L3	YD24L4	YD2L1	YD2L2	YD2L3	YD2L4	YD31L1	YD31L2	YD31L3	YD31L4	YD32L1	YD32L2	YD32L3	YD32L4	YD33L1	YD33L2	YD33L3	YD33L4	YD3L1	YD3L2	YD3L4	YD43L1	YD43L2	YD43L3	YD43L4	YD44L1	YD44L2	YD44L3	YD44L4	YD45L1	YD45L2	YD45L3	YD45L4	YD46L1	YD46L2	YD46L3	YD46L4	YD47L1	YD47L2	YD47L3	YD47L4	YD48L1	YD48L2	YD48L3	YD48L4	YD3L3
Zotu627	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	45	0	2	0	0	0	0
Zotu122	13	2	3	3	630	1	1	0	2	0	0	3	4	90	2	1	2	1	0	1	43	7	1	0	11	0	0	0	0	4	19	0	19	23	4	0	1910	1	2	0	3	81	2	2	0	0	0	0	0	0	0	197	1	0	2	1	0	1	0	6	0	1	1	12	0	8	0	17	0	1	1	0
Zotu517	0	1	0	0	15	3	0	0	1	0	0	0	30	5	0	1	7	5	0	0	0	19	1	0	5	10	0	0	1	4	0	0	35	15	0	0	5	4	2	0	4	4	0	0	2	2	0	6	0	0	0	41	10	0	0	42	7	0	0	4	0	3	0	4	3	0	0	8	0	0	2	0
Zotu1033	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Zotu43	0	0	0	0	0	0	0	2	0	0	4	299	0	0	6	0	0	0	1	1	1	0	8	19	0	0	0	0	0	0	0	0	0	0	0	1	1	3	3	0	0	0	0	26	0	0	0	2	1	1	3	0	0	1	12	0	2	0	5	0	0	0	0	1	3	26	3	0	0	0	0	1
Zotu424	6	1	0	0	1	0	0	0	5	1	1	0	2	7	2	0	1	0	0	0	4	1	0	0	5	0	0	0	1	6	0	0	7	4	0	0	1	0	0	0	67	6	0	1	0	1	0	0	2	0	0	8	0	0	0	0	0	2	0	46	7	0	0	2	0	0	0	36	0	0	0	0
Zotu17	28	60	90	472	6	28	30	2	26	60	118	717	30	29	120	7	8	20	30	71	1	51	12	308	1	7	9	99	3	23	1	40	25	30	20	3	3	256	349	51	11	38	18	96	3	5	1	3	11	13	20	2	68	132	136	9	20	41	12	19	64	37	4	10	175	227	233	39	249	29	9	8
Zotu1156	0	1	0	0	0	0	0	0	1	0	0	0	0	0	9	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu358	1	0	0	0	0	2	0	2	0	1	1	0	13	10	0	0	0	0	0	0	3	2	4	0	2	1	0	0	2	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	1	1	0	0	2	4	1	0	2	0	0	0	0	3	2	0	0	1	0	1	0	0
Zotu37	57	114	89	6	53	23	236	32	41	205	80	13	72	129	104	142	35	37	181	6	20	57	18	2	43	19	117	115	41	41	150	578	53	148	16	79	135	44	43	110	5	175	117	60	8	7	158	8	17	25	21	49	184	10	85	25	67	6	38	194	134	273	241	3	16	26	23	28	8	15	216	51
